REVIEWER,DATE,CONTENT
s*****i,2023-06-20,"Material:soft n looks like genuine leather.
Durability:Good and seems last for quite sometimes.

Received on 19/6. Choose blue colour and looks beautiful. Like it very much. Thank you seller and delivery man.  Will buy other colour next time. 👍🏼👍🏼"
batrisyiaed,2023-07-13,"Durability:besar dan cantik
Material:lembut

Parcel dlm keadaan baik laju penghantran dr china ke sarawak.seller cepat buat keja beg yg cantik dan puas hati memang cantik  beg besar wrna pun cantik.beg nmpk mahal tak rugi membeli love sangat sangat😍😍😍😍😍😍😍👍👍👍👍👍👍terima kasih seller dan ABX"
nadyalyj,2022-12-25,"Material:leather like
Durability:so far so good

Delivery was fast and the package was packed nicely. the volume of the bag is huge, can stuff in a lot of things. Thank you seller"
p*****n,2024-01-09,"Durability:good
Material:strong

Well wrapped.. very nice..I just love the colour..many zips front and back.. suitable for carry many things.. thanks seller.."
mohd_sidik,2022-03-07,Sampai dengan selamat.... Kualiti setanding harga... Cantik dan besar .... Terima kasih
girl8910,2021-10-03,"Nice color, not too red, delivery takes about 10 to 14 days, except for the strong smell, the beg is just nice for me."
e......s,2023-12-25,"Durability:ok
Material:ok

Item safely received..
bought for my mom
Material ok..soft texture
Hopefully will last longer
Tq"
wany_iman,2021-10-04,"Fast delivery .
Gambar nampak macam kecik. Tapi besar rupanya. Banyak compartment . Sesuai la untuk mak2.. banyak barang boleh letak.."
sharmi1203,2021-10-29,"The bag is big n comes with few compartments… convenient to carry lots of things BUT IT IS VERY SMELLY…like fish! Even my family members said they can smell it! I sprayed perfume, air freshener but still smelly!"
chaplee,2022-10-02,Material is soft and good quality but a bite too big.Thanks seller.
isyang8587,2021-09-29,Good productivity.... Good value for money.. Fast delivery... Recommend to others.... Good good good... ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
zarina1964,2024-01-14,"Penghantaran laju juga walaupun dari China..material pn ok n handbag ni besar, sesuai untuk isi berbagai brg. Tq seller"
d*****4,2024-01-06,"Durability:Sesuai
Material:Halus dan lembut

Beg besar boleh letak barang banyak"
aqeefrayhan,2023-02-09,"Material:ok baik
Durability:cantek

cantek n nampak mahal hihi..beli utk wife harap wife suke"
fauziahkamarun,2021-03-29,Tq seller 👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼develery very fast🌟🌟🌟🌟🌟🌟🌟🌟🌟
a*****h,2021-11-27,"Fasttt deliveryyy
Gooood product qualityy
Goood valuee for moneyyy"
z*****e,2022-03-04,Beg ni cantik sgt22.. Tp die besa ckit dpd yg ditunjukkan dkt dlm gmba..
ckplkgeok,2023-01-28,Product received in good condition. Packed nicely.very Fast delivery
suesurina76,2022-08-03,Barang sampai dengan baik ..
jonimolla,2021-03-12, very nicely received my order
lalaaaa_mrs,2021-10-14,"Good quality, fast delivery. Thankk youuuuu. Will buy again"
jnsjns1972,2023-02-24,Beg besar memenuhi cita rasa saya...saya suka🥰
cikadlin,2021-12-04,Dah sampai seriuos cakap . Memang cantikk the best lah . takda rosak apa2 semua okey . padan dengan harga . cantik cantikk . suka sangat 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍
kokpeng12,2022-11-28,product received in good condition。packed nicely。fast delivery
galalima,2023-09-09,"Durability:terbaik
Material:seperti dlm gmbr cantik"
haz1qah,2021-11-16,"Rate untuk coins saja.
Barang semua ok.
Tolong belikan untuk ibu di kampung.
Tq seller.
Tq courier.
Tq shopee."
h*****6,2022-10-18,"Bag cantik..
Besar elok ..
Puas hati
Thank you
Sory pic & video not available 😆"
b*****h,2023-09-05,"Material:kulit

Warna terlalu gelap drpd gmbr😭😭☝🏻 tapi it's okayy harap ibu aq terima seadanya"
r*****8,2021-10-15,very recomended ... ver very very nice and beautiful bag...tq so much seller
rayner477,2021-10-14,RM0 Sentiasa berhati-hati dan peka akan tempat yang anda kunjungi. Jangan bawa balik Covid-19 ke rumah anda. Ingatlah orang yang anda sayangi.
linahmarali,2022-03-20,"Terbaik
Nanti beli lagi
Cepat juga lh walaupun dari cina"
zarinazohri,2023-03-10,Puas hati...besar n byk partition...rekomen
azianjamil123,2023-02-20,Penghantaran cepat..bungkusan yg elok..t.q
j*****5,2022-07-23,
n*****3,2022-03-26,Barang telah diterima terima kasih saller n jnt boleh repeat order next time
hafizahalias809,2024-01-21,"Material:beg tangan wanita..okey je.. padanan ngan harga
Durability:sesuai jugok lah ngan wanita yang berumur 40 an

Perkhidmatan penghantaran percuma dan selamat"
zaleha2507,2023-08-21,"Material:Warna beg  dan kualiti amat baik.
Durability:Beg ini amat besar memang sesuai dengan wanita seperti saya yang suka bawa banysk barang."
r*****a,2024-03-29,"Durability:Nice materials.. Vslue for our money

Worth buying guys.... Very cheap.. Affordable indeed. 👌👍"
